CMS_ID;LANGUAGE;NAZIV_RESORT;KRATAK_OPIS_RESORT;ID_TABLICA;CREATED_DATE_;MODIFIED_DATE_
69362;HR;Girandella Valamar Collection Resort 4*/5*;Počastite se odmorom u Girandella Valamar Collection Resortu smještenom u slikovitom zaljevu kraj prekrasnih plaža.;103;2023-05-05 14:03:02;2023-05-05 14:03:02
69362;I;Girandella Valamar Collection Resort 4*/5*;Regalatevi una vacanza nel Girandella Valamar Collection Resort che sorge in una pittoresca insenatura accanto a splendide spiagge.;104;2023-05-05 14:03:02;2023-05-05 14:03:02
69362;SL;Girandella Valamar Collection Resort 4*/5*;Privoščite si dopust v Girandella Valamar Collection Resortu, ki je v slikovitem zalivu poleg prečudovitih plaž.;105;2023-05-05 14:03:02;2023-05-05 14:03:02
71410;D;Imperial Valamar Collection Hotel 4*;Mit seiner Lage neben dem exotischen Stadtpark in der Nähe des Strandes und der Kultur- und Unterhaltungsangebote der Altstadt von Rab zeichnet sich dieses Hotel seit jeher durch seinen individuellen Charakter aus.trebaFixati;106;2023-05-05 14:03:02;2023-05-05 14:03:02
71410;E;Imperial Valamar Collection Hotel 4*;Located next to the exotic town park near the beach, cultural sites of interest, and a variety of entertainment options in the historic town of Rab, this hotel has always attracted visitors with its particular character.trebaFixati;107;2023-05-05 14:03:02;2023-05-05 14:03:02
71410;HR;Imperial Valamar Collection Hotel 4*;Smješten kraj egzotičnog gradskog parka blizu plaže i kulturnog i zabavnog života starog grada Raba, ovaj hotel je oduvijek privlačio svojim karakterom.;108;2023-05-05 14:03:02;2023-05-05 14:03:02
71410;I;Imperial Valamar Collection Hotel 4*;Il Imperial Valamar Collection Hotel, situato nei pressi del parco esotico cittadino, della spiaggia e del centro storico di Rab (Arbe) dove si dispiega la vita culturale e l’intrattenimento, è stato da sempre fonte di fascino e ammirazione.trebaFixati;109;2023-05-05 14:03:02;2023-05-05 14:03:02
71410;SL;Imperial Valamar Collection Hotel 4*;Z lokacijo poleg eksotičnega mestnega parka blizu plaže ter kulturnega in zabavnega življenja starega mestnega jedra Raba je ta hotel že od nekdaj privlačil s svojim karakterjem.trebaFixati;110;2023-05-05 14:03:02;2023-05-05 14:03:02
71421;D;Valamar Bellevue Resort 4*;;111;2023-05-05 14:03:02;2023-05-05 14:03:02
71421;E;Valamar Bellevue Resort 4*;The unique Valamar Bellevue Resort is located above the enchanting beaches of Rabac and their pearl white pebbles.;112;2023-05-05 14:03:02;2023-05-05 14:03:02
71421;HR;Valamar Bellevue Resort 4*;Jedinstveni Valamar Bellevue Resort smješten je iznad očaravajućih rabačkih plaža s biserno bijelim oblucima.;113;2023-05-05 14:03:02;2023-05-05 14:03:02
71421;I;Valamar Bellevue Resort 4*;Il magnifico Valamar Bellevue Resort è situato sopra le meravigliose spiagge di Rabac con ciottoli bianco perla.;114;2023-05-05 14:03:02;2023-05-05 14:03:02
71421;SL;Valamar Bellevue Resort 4*;Edinstveni Valamar Bellevue Resort se nahaja nad očarljivimi rabaškimi plažami z biserno belim prodom.;115;2023-05-05 14:03:02;2023-05-05 14:03:02
74170;D;Valamar Carolina Hotel & Villas 4*;Die Valamar Carolina Hotel & Villas liegen versteckt in einem prächtigen Wald auf der Halbinsel Suha Punta und bieten eine wunderschöne Umgebung mit malerischen Blicken, modernen Zimmern und herrlichen Stränden.trebaFixati;116;2023-05-05 14:03:02;2023-05-05 14:03:02
74170;E;Valamar Carolina Hotel & Villas 4*;Hidden in a magnificent forest on the Suha Punta peninsula, the Valamar Carolina Hotel & Villas offer wonderful ambience with dreamy vistas, modern rooms and stunning beaches.trebaFixati;117;2023-05-05 14:03:02;2023-05-05 14:03:02
74170;HR;Valamar Carolina Hotel & Villas 4*;Skriveni u raskošnoj šumi poluotoka Suha Punta, Valamar Carolina Hotel & Villas pružaju čarobno okruženje s bajkovitim pogledima, modernim sobama i prekrasnim plažama.trebaFixati;118;2023-05-05 14:03:02;2023-05-05 14:03:02
74170;I;Valamar Carolina Hotel & Villas 4*;Immersi nella rigogliosa vegetazione della penisola di Suha Punta, i Valamar Carolina Hotel & Villas offrono un ambiente magnifico con panorami da sogno, camere moderne e incantevoli spiagge.trebaFixati;119;2023-05-05 14:03:02;2023-05-05 14:03:02
74170;SL;Valamar Carolina Hotel & Villas 4*;Skriti v razkošnem gozdu polotoka Suha Punta, vam Valamar Carolina Hotel & Villas ponujajo čarobno okolico s pravljičnimi pogledi, modernimi sobami in prečudovitimi plažami.trebaFixati;120;2023-05-05 14:03:02;2023-05-05 14:03:02
74188;D;San Marino Sunny Resort by Valamar 3*;Skriti v razkošnem gozdu polotoka Suha Punta, vam Valamar Carolina Hotel & Villas ponujajo čarobno okolico s pravljičnimi pogledi, modernimi sobami in prečudovitimi plažami.trebaFixati;121;2023-05-05 14:03:02;2023-05-05 14:03:02
74188;SL;San Marino Sunny Resort by Valamar 3*;Če želite svoji družini privoščiti nepozaben oddih, rezervirajte namestitev v enem izmed petih hotelov v sklopu San Marino Sunny Resorta by Valamar v Loparju blizu znamenite peščene Rajske plaže.trebaFixati;122;2023-05-05 14:03:02;2023-05-05 14:03:02
74188;E;San Marino Sunny Resort by Valamar 3*;If you're looking for a family holiday to remember, we recommend booking accommodation in one of the five hotels in the San Marino Sunny Resort by Valamar in Lopar next to the famous sandy Paradise Beach (Rajska Plaža).trebaFixati;123;2023-05-05 14:03:02;2023-05-05 14:03:02
74188;HR;San Marino Sunny Resort by Valamar 3*;Želite li svojoj obitelji priuštiti odmor za pamćenje, rezervirajte smještaj u jednom od pet hotela u sklopu San Marino Sunny Resorta by Valamar u Loparu blizu čuvene pješčane Rajske plaže.trebaFixati;124;2023-05-05 14:03:02;2023-05-05 14:03:02
74188;I;San Marino Sunny Resort by Valamar 3*;Volete concedervi una vacanza indimenticabile assieme alla vostra famiglia?;125;2023-05-05 14:03:02;2023-05-05 14:03:02
74747;D;Suha Punta Apartments by Valamar 3*;Umgeben von einem dichten Kiefernwald auf der Halbinsel Suha Punta bieten diese Appartements komfortable Unterkünfte in der Nähe der wunderschönen Strände von Rab.trebaFixati;126;2023-05-05 14:03:02;2023-05-05 14:03:02
74747;E;Suha Punta Apartments by Valamar 3*;Surrounded by the lush pine forest of the Suha Punta peninsula, these apartments offer comfortable accommodation close to Rab's stunning beaches.;127;2023-05-05 14:03:02;2023-05-05 14:03:02
74747;HR;Suha Punta Apartments by Valamar 3*;Okruženi bujnom borovom šumom poluotoka Suha Punta, ovi apartmani pružaju komforan smještaj blizu prekrasnih rapskih plaža.;128;2023-05-05 14:03:02;2023-05-05 14:03:02
74747;I;Suha Punta Apartments by Valamar 3*;Circondati da una rigogliosa pineta della penisola di Suha Punta, questi appartamenti offrono un alloggio confortevole nei pressi delle stupende spiagge di Rab.trebaFixati;129;2023-05-05 14:03:02;2023-05-05 14:03:02
74747;SL;Suha Punta Apartments by Valamar 3*;Obdani z bujnim borovim gozdom na polotoka Suha Punta, vam ti apartmaji ponujajo udobno namestitev v bližini prekrasnih rabskih plaž.;130;2023-05-05 14:03:02;2023-05-05 14:03:02
86394;D;Girandella Valamar Collection Resort 4*/5*;Gönnen Sie sich einen Urlaub im Girandella Valamar Collection Resort.;131;2023-05-05 14:03:02;2023-05-05 14:03:02
86394;E;Girandella Valamar Collection Resort 4*/5*;Treat yourself to a holiday at the Girandella Valamar Collection Resort, located in a picturesque bay and next to stunning beaches.;132;2023-05-05 14:03:02;2023-05-05 14:03:02
86394;HR;Girandella Valamar Collection Resort 4*/5*;Počastite se odmorom u Girandella Valamar Collection Resortu smještenom u slikovitom zaljevu kraj prekrasnih plaža.;133;2023-05-05 14:03:02;2023-05-05 14:03:02
